INSTNM,CITY,STABBR,REGION,REGION_NAME,CONTROL,CONTROL_NAME,ADM_RATE,SAT_AVG,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,GRAD_RATE,MD_EARN_WNE_P10
Stony Brook University,Stony Brook,NY,2,Mid East,1,Public,0.4904,1419.0,18101,10931,32741,0.7556,74502
Swarthmore College,Swarthmore,PA,2,Mid East,2,Private nonprofit,0.0746,1534.0,1613,65494,65494,0.9227,80257
Syracuse University,Syracuse,NY,2,Mid East,2,Private nonprofit,0.4592,1375.0,15477,65528,65528,0.8361,79164
Tarleton State University,Stephenville,TX,6,Southwest,1,Public,0.8955,1075.0,12673,8302,18142,0.4821,53040
Temple University,Philadelphia,PA,2,Mid East,1,Public,0.8041,,20970,23011,38958,0.7505,63727
Texas A&M University-College Station,College Station,TX,6,Southwest,1,Public,0.5743,1280.0,59615,13154,40124,0.8391,72097
Texas Christian University,Fort Worth,TX,6,Southwest,2,Private nonprofit,0.4449,1298.0,11026,61740,61740,0.8551,68424
Texas State University,San Marcos,TX,6,Southwest,1,Public,0.8932,1103.0,36177,11450,22930,0.5528,56906
Texas Tech University,Lubbock,TX,6,Southwest,1,Public,0.7265,1190.0,32394,11852,24451,0.6869,62454
The Cooper Union for the Advancement of Science and Art,New York,NY,2,Mid East,2,Private nonprofit,0.2071,1410.0,842,46820,46820,0.8111,83847
The Juilliard School,New York,NY,2,Mid East,2,Private nonprofit,0.0915,,468,57950,57950,0.9256,37827
The University of Alabama,Tuscaloosa,AL,5,Southeast,1,Public,0.7665,1285.0,33227,12180,34172,0.7337,59221
The University of Tampa,Tampa,FL,5,Southeast,2,Private nonprofit,0.4034,,10572,34408,34408,0.637,59436
The University of Tennessee-Chattanooga,Chattanooga,TN,5,Southeast,1,Public,0.8109,1147.0,10074,10448,18512,0.5024,51151
The University of Tennessee-Knoxville,Knoxville,TN,5,Southeast,1,Public,0.416,1311.0,30418,13812,33256,0.7392,60249
The University of Texas Rio Grande Valley,Edinburg,TX,6,Southwest,1,Public,0.9419,985.0,28666,9987,19827,0.509,49620
The University of Texas at Arlington,Arlington,TX,6,Southwest,1,Public,0.799,1124.0,32294,11950,29582,0.5402,63199
The University of Texas at Austin,Austin,TX,6,Southwest,1,Public,0.2664,1395.0,42855,11688,44908,0.889,75121
The University of Texas at Dallas,Richardson,TX,6,Southwest,1,Public,0.6513,1286.0,21751,14644,40144,0.7569,68227
The University of Texas at El Paso,El Paso,TX,6,Southwest,1,Public,0.9992,962.0,21005,9744,25502,0.5017,50923
The University of Texas at San Antonio,San Antonio,TX,6,Southwest,1,Public,0.8679,1105.0,30580,9011,22051,0.5264,57131
Towson University,Towson,MD,2,Mid East,1,Public,0.8197,1095.0,16136,11728,29820,0.6946,64390
Tufts University,Medford,MA,1,New England,2,Private nonprofit,0.1149,1513.0,7061,70704,70704,0.9351,83214
Tulane University of Louisiana,New Orleans,LA,5,Southeast,2,Private nonprofit,0.1398,1448.0,7767,68678,68678,0.8614,63268
University at Albany,Albany,NY,2,Mid East,1,Public,0.691,,12564,10866,31256,0.6145,67979
University at Buffalo,Buffalo,NY,2,Mid East,1,Public,0.7418,1295.0,20112,10936,31536,0.7518,70814
University of Alabama at Birmingham,Birmingham,AL,5,Southeast,1,Public,0.8818,1258.0,11635,9098,22562,0.6423,54501
University of Arizona,Tucson,AZ,6,Southwest,1,Public,0.8614,1246.0,42537,13926,42278,0.6752,59979
University of Arkansas,Fayetteville,AR,5,Southeast,1,Public,0.743,1169.0,28677,10104,29966,0.7052,58191
University of California-Berkeley,Berkeley,CA,8,Far West,1,Public,0.1098,,33068,16347,50547,0.9284,92446
University of California-Davis,Davis,CA,8,Far West,1,Public,0.4183,,32253,16774,50974,0.8567,80838
University of California-Irvine,Irvine,CA,8,Far West,1,Public,0.2857,,30197,15722,49922,0.8687,80735
University of California-Los Angeles,Los Angeles,CA,8,Far West,1,Public,0.0897,,33475,15203,49403,0.9262,82511
University of California-Riverside,Riverside,CA,8,Far West,1,Public,0.7639,,22593,15606,49806,0.7596,67699
University of California-San Diego,La Jolla,CA,8,Far West,1,Public,0.2671,,34948,16758,50958,0.8605,84943
University of California-Santa Barbara,Santa Barbara,CA,8,Far West,1,Public,0.3297,,23113,16414,50614,0.8303,74915
University of California-Santa Cruz,Santa Cruz,CA,8,Far West,1,Public,0.6579,,17940,16005,50205,0.7509,68396
University of Central Florida,Orlando,FL,5,Southeast,1,Public,0.4011,1269.0,59146,6368,22467,0.7801,58308
University of Central Oklahoma,Edmond,OK,6,Southwest,1,Public,0.7812,1090.0,10170,8818,19704,0.3676,48351
University of Chicago,Chicago,IL,3,Great Lakes,2,Private nonprofit,0.0448,1554.0,7569,70662,70662,0.9585,91885
University of Cincinnati-Main Campus,Cincinnati,OH,3,Great Lakes,1,Public,0.8529,1282.0,29882,13976,29310,0.7496,54810
University of Colorado Boulder,Boulder,CO,7,Rocky Mountains,1,Public,0.7808,1357.0,31939,15666,44918,0.7419,69738
University of Colorado Denver/Anschutz Medical Campus,Denver,CO,7,Rocky Mountains,1,Public,0.7468,1116.0,10519,10383,29391,0.4615,64270
University of Connecticut,Storrs,CT,1,New England,1,Public,0.5239,1348.0,19835,21044,43712,0.8329,73997
University of Delaware,Newark,DE,2,Mid East,1,Public,0.706,1292.0,19071,16810,41400,0.8055,72950
University of Florida,Gainesville,FL,5,Southeast,1,Public,0.242,1403.0,35629,6381,28659,0.9112,71588
University of Georgia,Athens,GA,5,Southeast,1,Public,0.377,1397.0,32137,11450,31688,0.8969,68726
University of Hawaii at Manoa,Honolulu,HI,8,Far West,1,Public,0.866,1102.0,15029,12186,34218,0.6429,57624
University of Houston,Houston,TX,6,Southwest,1,Public,0.7392,1250.0,38380,9717,22547,0.6456,62377
University of Houston-Downtown,Houston,TX,6,Southwest,1,Public,0.8996,1029.0,12555,7708,17548,0.332,53551
University of Illinois Chicago,Chicago,IL,3,Great Lakes,1,Public,0.7735,1250.0,22170,14338,29884,0.6162,68740
