INSTNM,CITY,STABBR,REGION,REGION_NAME,CONTROL,CONTROL_NAME,ADM_RATE,SAT_AVG,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,GRAD_RATE,MD_EARN_WNE_P10
Wake Forest University,Winston-Salem,NC,5,Southeast,2,Private nonprofit,0.2167,1475.0,5485,67642,67642,0.8915,78158
Washington State University,Pullman,WA,8,Far West,1,Public,0.8664,,21099,13391,29950,0.605,68905
Washington University in St Louis,St. Louis,MO,4,Plains,2,Private nonprofit,0.1206,1530.0,7857,65790,65790,0.9426,86182
Washington and Lee University,Lexington,VA,5,Southeast,2,Private nonprofit,0.1397,1498.0,1881,68045,68045,0.9388,94810
Wayne State University,Detroit,MI,3,Great Lakes,1,Public,0.8116,1156.0,15587,15190,32037,0.5844,53493
Wellesley College,Wellesley,MA,1,New England,2,Private nonprofit,0.1405,1520.0,2300,67176,67176,0.9153,84803
Wesleyan University,Middletown,CT,1,New England,2,Private nonprofit,0.1649,1501.0,3067,70342,70342,0.9264,73897
West Chester University of Pennsylvania,West Chester,PA,2,Mid East,1,Public,0.784,1187.0,14164,10775,22599,0.7051,61258
West Virginia University,Morgantown,WV,5,Southeast,1,Public,0.89,1122.0,17385,10104,28608,0.6466,55939
Western Carolina University,Cullowhee,NC,5,Southeast,1,Public,0.8183,1157.0,10024,4630,8630,0.6026,49458
Western Kentucky University,Bowling Green,KY,5,Southeast,1,Public,0.9387,971.0,12155,11652,27000,0.5556,43889
Western Michigan University,Kalamazoo,MI,3,Great Lakes,1,Public,0.846,,12568,15252,19034,0.5757,53562
Western Washington University,Bellingham,WA,8,Far West,1,Public,0.9325,1289.0,13544,9582,28707,0.6464,62569
Wichita State University,Wichita,KS,4,Plains,1,Public,0.9395,1092.0,10780,9684,19869,0.5103,51532
Williams College,Williamstown,MA,1,New England,2,Private nonprofit,0.0825,1533.0,2076,68560,68560,0.9361,88665
Yale University,New Haven,CT,1,New England,2,Private nonprofit,0.0387,1534.0,6758,67250,67250,0.9574,100533
